tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,1,105815,1,,Tennys Sandgren,R,,USA,24.4544832307,261,201,111581,,,Michael Mmoh,R,,USA,17.9822039699,455,88,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,2,127028,,Q,Tom Fawcett,U,,USA,20.2135523614,1633,2,200222,,Q,Nicholas S Hu,R,,USA,21.697467488,1896,1,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,3,110751,,,Sebastian Fanselow,U,,GER,24.0136892539,528,65,110750,,,Eric Johnson,R,,USA,22.8774811773,522,67,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,4,105960,,,Evan King,L,185,USA,23.7782340862,414,104,111456,8,,Mackenzie Mcdonald,R,,USA,20.720054757,371,118,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,5,105336,3,,Nicolas Meister,U,,USA,26.6392881588,302,165,106335,,,Alexios Halebian,L,,USA,21.5742642026,617,50,7-6(4) 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,6,106420,,,Gianluigi Quinzi,L,,ITA,19.923340178,383,113,108767,,WC,Gonzales Austin,L,,HAI,23.1622176591,761,30,7-6(3) 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,7,111514,,Q,Max De Vroome,R,,NED,21.5934291581,1896,1,111583,,Q,Martin Redlicki,U,,USA,20.3641341547,1637,2,6-2 3-6 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,8,111578,6,,Stefan Kozlov,R,,USA,17.9219712526,351,130,105071,,,Jean Yves Aubone,R,180,USA,27.9835728953,603,53,6-0 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,9,126152,,WC,Ryan Shane,U,,USA,21.7221081451,730,33,111586,7,,Deiton Baughman,U,,USA,19.6988364134,357,128,7-5 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,10,105870,,Q,Yannick Hanfmann,U,,GER,24.1423682409,660,43,138590,,WC,Robbie C Bellamy,U,,USA,20.93908282,2085,1,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,11,126243,,Q,Jake Devine,U,,USA,18.6201232033,,,111515,,Q,Thai Son Kwiatkowski,U,,USA,20.8898015058,1666,2,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,12,105229,4,,Philip Bester,R,188,CAN,27.2443531828,303,164,200587,,WC,Brandon Holt,U,,USA,17.7467488022,,,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,13,110636,,,Clay Thompson,R,,USA,23.6687200548,468,84,105281,5,,Eric Quigley,U,,USA,26.9267624914,314,158,6-4 6-7(5) 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,14,110749,,,Joe Salisbury,U,,GBR,23.7070499658,646,46,105566,,Q,Shahin Khaledan,R,,IRI,25.5770020534,1003,12,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,15,105100,,,Edward Corrie,U,,GBR,27.8685831622,453,89,124014,,,Ernesto Escobedo,R,,USA,19.5017111567,393,111,7-6(3) 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,16,105447,,PR,Dennis Nevolo,R,,USA,26.0342231348,621,49,104905,2,,Nicolas Barrientos,R,175,COL,28.6981519507,294,170,6-4 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,17,105815,1,,Tennys Sandgren,R,,USA,24.4544832307,261,201,127028,,Q,Tom Fawcett,U,,USA,20.2135523614,1633,2,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,
2016-M-FU-USA-01A-2016,USA F1,Hard,32,S,20160104,18,110751,,,Sebastian Fanselow,U,,GER,24.0136892539,528,65,105960,,,Evan King,L,185,USA,23.7782340862,414,104,4-6 6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,
